Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.99999999999786
0.002,0,-0,-180,9.99999999999911
0.004,0,-0,-180,9.99999999999906
0.006,0,-0,-180,9.99999999999918
0.008,0,-0,-180,9.99999999999423
0.01,0,-0,-180,9.99999999999434
0.012,0,-0,-180,9.99999999999449
0.014,0,-0,-180,9.99999999999468
0.016,0,-0,-180,9.99999999999501
0.018,0,-0,-180,9.99999999999551
0.02,0,-0,-180,9.9999999999962
0.022,0,-0,-180,9.99999999999689
0.024,0,-0,-180,9.99999999999752
0.026,0,-0,-180,9.99999999999797
0.028,0,-0,-180,9.99999999999811
0.03,0,-0,-180,9.99999999999796
0.032,0,-0,-180,9.99999999999721
0.034,0,-0,-180,9.99999999999688
0.036,0,-0,-180,9.99999999999639
0.038,0,-0,-180,9.99999999999589
0.04,0,-0,-180,9.99999999999545
0.042,0,-0,-180,9.99999999999506
0.044,0,-0,-180,9.99999999999472
0.046,0,-0,-180,9.99999999999437
0.048,0,-0,-180,9.99999999999411
0.05,0,-0,-180,9.99999999999408
0.052,0,-0,-180,9.99999999999402
0.054,0,-0,-180,9.99999999999394
0.056,0,-0,-180,9.99999999999389
0.058,0,-0,-180,9.99999999999384
0.06,0,-0,-180,9.99999999999379
0.062,0,-0,-180,9.99999999999375
0.064,0,-0,-180,9.99999999999372
0.066,0,-0,-180,9.99999999999363
0.068,0,-0,-180,9.99999999999353
0.07,0,-0,-180,9.99999999999345
0.072,0,-0,-180,9.99999999999336
0.074,0,-0,-180,9.99999999999332
0.076,0,-0,-180,9.99999999999325
0.078,0,-0,-180,9.99999999999319
0.08,0,-0,-180,9.99999999999313
0.082,0,-0,-180,9.99999999999308
0.084,0,-0,-180,9.99999999999306
0.086,0,-0,-180,9.99999999999302
0.088,0,-0,-180,9.99999999999298
0.09,0,-0,-180,9.99999999999294
0.092,0,-0,-180,9.99999999999291
0.094,0,-0,-180,9.99999999999288
0.096,0,-0,-180,9.99999999999286
0.098,0,-0,-180,9.99999999999283
0.1,0,-0,-180,9.99999999999281
0.102,0,-0,-180,9.9999999999928
0.104,0,-0,-180,9.99999999999279
0.106,0,-0,-180,9.99999999999278
0.108,0,-0,-180,9.99999999999276
