Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.99999999999898
0.002,0,-0,-180,9.99999999999911
0.004,0,-0,-180,9.99999999999903
0.006,0,-0,-180,9.99999999999899
0.008,0,-0,-180,9.99999999999902
0.01,0,-0,-180,9.99999999999917
0.012,0,-0,-180,9.99999999999945
0.014,0,-0,-180,9.99999999999663
0.016,0,-0,-180,9.99999999999726
0.018,0,-0,-180,9.99999999999729
0.02,0,-0,-180,9.99999999999746
0.022,0,-0,-180,9.99999999999757
0.024,0,-0,-180,9.99999999999766
0.026,0,-0,-180,9.99999999999773
0.028,0,-0,-180,9.99999999999779
0.03,0,-0,-180,9.99999999999816
0.032,0,-0,-180,9.99999999999825
0.034,0,-0,-180,9.99999999999837
0.036,0,-0,-180,9.99999999999849
0.038,0,-0,-180,9.99999999999861
0.04,0,-0,-180,9.99999999999872
0.042,0,-0,-180,9.99999999999882
0.044,0,-0,-180,9.99999999999884
0.046,0,-0,-180,9.9999999999927
0.048,0,-0,-180,9.99999999999223
0.05,0,-0,-180,9.99999999999258
0.052,0,-0,-180,9.99999999999316
0.054,0,-0,-180,9.99999999999289
0.056,0,-0,-180,9.99999999999256
0.058,0,-0,-180,9.99999999999236
0.06,0,-0,-180,9.9999999999921
0.062,0,-0,-180,9.99999999999862
0.064,0,-0,-180,9.99999999999861
0.066,0,-0,-180,9.99999999999861
0.068,0,-0,-180,9.99999999999862
0.07,0,-0,-180,9.99999999999862
0.072,0,-0,-180,9.99999999999862
0.074,0,-0,-180,9.99999999999862
0.076,0,-0,-180,9.99999999999862
0.078,0,-0,-180,9.99999999999861
0.08,0,-0,-180,9.99999999999861
0.082,0,-0,-180,9.99999999999861
0.084,0,-0,-180,9.99999999999861
0.086,0,-0,-180,9.9999999999986
0.088,0,-0,-180,9.9999999999986
0.09,0,-0,-180,9.9999999999986
0.092,0,-0,-180,9.9999999999986
0.094,0,-0,-180,9.99999999999859
0.096,0,-0,-180,9.99999999999859
0.098,0,-0,-180,9.99999999999859
0.1,0,-0,-180,9.99999999999859
0.102,0,-0,-180,9.99999999999859
0.104,0,-0,-180,9.99999999999858
0.106,0,-0,-180,9.99999999999858
0.108,0,-0,-180,9.99999999999858
0.11,0,-0,-180,9.99999999999858
0.112,0,-0,-180,9.99999999999858
0.114,0,-0,-180,9.99999999999858
0.116,0,-0,-180,9.99999999999858
0.118,0,-0,-180,9.99999999999857
0.12,0,-0,-180,9.99999999999857
0.122,0,-0,-180,9.99999999999857
0.124,0,-0,-180,9.99999999999857
0.126,0,-0,-180,9.99999999999857
0.128,0,-0,-180,9.99999999999857
0.13,0,-0,-180,9.99999999998996
0.132,0,-0,-180,9.99999999998996
0.134,0,-0,-180,9.99999999998995
0.136,0,-0,-180,9.99999999998995
0.138,0,-0,-180,9.99999999998994
0.14,0,-0,-180,9.99999999998994
0.142,0,-0,-180,9.99999999998994
0.144,0,-0,-180,9.99999999998994
0.146,0,-0,-180,9.99999999998994
0.148,0,-0,-180,9.99999999998993
0.15,0,-0,-180,9.99999999998993
0.152,0,-0,-180,9.99999999998993
0.154,0,-0,-180,9.99999999998993
0.156,0,-0,-180,9.99999999998993
0.158,0,-0,-180,9.99999999998993
0.16,0,-0,-180,9.99999999998992
0.162,0,-0,-180,9.99999999998992
0.164,0,-0,-180,9.99999999998992
0.166,0,-0,-180,9.99999999998992
0.168,0,-0,-180,9.99999999998992
0.17,0,-0,-180,9.99999999998992
0.172,0,-0,-180,9.99999999998992
0.174,0,-0,-180,9.99999999998992
0.176,0,-0,-180,9.99999999998992
0.178,0,-0,-180,9.99999999998992
0.18,0,-0,-180,9.99999999998992
0.182,0,-0,-180,9.99999999998992
0.184,0,-0,-180,9.99999999998992
0.186,0,-0,-180,9.99999999998992
0.188,0,-0,-180,9.99999999998992
0.19,0,-0,-180,9.99999999998992
0.192,0,-0,-180,9.99999999998992
0.194,0,-0,-180,9.99999999998992
0.196,0,-0,-180,9.99999999998992
0.198,0,-0,-180,9.99999999998992
0.2,0,-0,-180,9.99999999998992
0.202,0,-0,-180,9.99999999998992
0.204,0,-0,-180,9.99999999998992
0.206,0,-0,-180,9.99999999998992
0.208,0,-0,-180,9.99999999998992
0.21,0,-0,-180,9.99999999998992
0.212,0,-0,-180,9.99999999998992
0.214,0,-0,-180,9.99999999998992
0.216,0,-0,-180,9.99999999998992
0.218,0,-0,-180,9.99999999998992
0.22,0,-0,-180,9.99999999998992
0.222,0,-0,-180,9.99999999998992
0.224,0,-0,-180,9.99999999998992
0.226,0,-0,-180,9.99999999998992
0.228,0,-0,-180,9.99999999998992
0.23,0,-0,-180,9.99999999998992
0.232,0,-0,-180,9.99999999998992
0.234,0,-0,-180,9.99999999998992
0.236,0,-0,-180,9.99999999998991
0.238,0,-0,-180,9.99999999998991
0.24,0,-0,-180,9.99999999998991
0.242,0,-0,-180,9.99999999998992
0.244,0,-0,-180,9.99999999998991
0.246,0,-0,-180,9.99999999998992
0.248,0,-0,-180,9.99999999998991
0.25,0,-0,-180,9.99999999998991
0.252,0,-0,-180,9.99999999998991
0.254,0,-0,-180,9.99999999998991
0.256,0,-0,-180,9.99999999998991
0.258,0,-0,-180,9.99999999998991
0.26,0,-0,-180,9.99999999998991
0.262,0,-0,-180,9.99999999998991
0.264,0,-0,-180,9.99999999998991
0.266,0,-0,-180,9.99999999998991
0.268,0,-0,-180,9.99999999998991
0.27,0,-0,-180,9.99999999998991
0.272,0,-0,-180,9.99999999998991
0.274,0,-0,-180,9.99999999998991
0.276,0,-0,-180,9.99999999998991
0.278,0,-0,-180,9.99999999998991
0.28,0,-0,-180,9.99999999998991
0.282,0,-0,-180,9.99999999998991
0.284,0,-0,-180,9.99999999998991
0.286,0,-0,-180,9.99999999998991
0.288,0,-0,-180,9.99999999998991
0.29,0,-0,-180,9.99999999998991
0.292,0,-0,-180,9.99999999998991
0.294,0,-0,-180,9.99999999998992
0.296,0,-0,-180,9.99999999998991
0.298,0,-0,-180,9.99999999998991
0.3,0,-0,-180,9.99999999998991
0.302,0,-0,-180,9.99999999998991
0.304,0,-0,-180,9.99999999998991
0.306,0,-0,-180,9.99999999998991
0.308,0,-0,-180,9.99999999998991
0.31,0,-0,-180,9.99999999998991
0.312,0,-0,-180,9.99999999998991
0.314,0,-0,-180,9.99999999998991
0.316,0,-0,-180,9.99999999998991
0.318,0,-0,-180,9.99999999998991
0.32,0,-0,-180,9.99999999998991
0.322,0,-0,-180,9.99999999998991
0.324,0,-0,-180,9.99999999998991
0.326,0,-0,-180,9.99999999998991
0.328,0,-0,-180,9.99999999998991
0.33,0,-0,-180,9.99999999998991
0.332,0,-0,-180,9.99999999998991
0.334,0,-0,-180,9.99999999998991
0.336,0,-0,-180,9.99999999998991
0.338,0,-0,-180,9.99999999998991
0.34,0,-0,-180,9.99999999998991
0.342,0,-0,-180,9.99999999998991
0.344,0,-0,-180,9.99999999998992
0.346,0,-0,-180,9.99999999998991
0.348,0,-0,-180,9.99999999998991
0.35,0,-0,-180,9.99999999998991
0.352,0,-0,-180,9.99999999998991
0.354,0,-0,-180,9.99999999998991
0.356,0,-0,-180,9.99999999998991
0.358,0,-0,-180,9.99999999998992
0.36,0,-0,-180,9.99999999998991
0.362,0,-0,-180,9.99999999998991
0.364,0,-0,-180,9.99999999998992
0.366,0,-0,-180,9.99999999998991
0.368,0,-0,-180,9.99999999998991
0.37,0,-0,-180,9.99999999998991
0.372,0,-0,-180,9.99999999998991
0.374,0,-0,-180,9.99999999998991
0.376,0,-0,-180,9.99999999998992
0.378,0,-0,-180,9.99999999998991
0.38,0,-0,-180,9.99999999998991
0.382,0,-0,-180,9.99999999998991
0.384,0,-0,-180,9.99999999998991
0.386,0,-0,-180,9.99999999998992
0.388,0,-0,-180,9.99999999998991
0.39,0,-0,-180,9.99999999998991
0.392,0,-0,-180,9.99999999998991
0.394,0,-0,-180,9.99999999998991
0.396,0,-0,-180,9.99999999998991
0.398,0,-0,-180,9.99999999998991
0.4,0,-0,-180,9.99999999998991
0.402,0,-0,-180,9.99999999998992
0.404,0,-0,-180,9.99999999998991
0.406,0,-0,-180,9.99999999998991
0.408,0,-0,-180,9.99999999998991
0.41,0,-0,-180,9.99999999998991
0.412,0,-0,-180,9.99999999998991
0.414,0,-0,-180,9.99999999998991
0.416,0,-0,-180,9.99999999998992
0.418,0,-0,-180,9.99999999998991
0.42,0,-0,-180,9.99999999998991
0.422,0,-0,-180,9.99999999998992
0.424,0,-0,-180,9.99999999998991
0.426,0,-0,-180,9.99999999998991
0.428,0,-0,-180,9.99999999998991
0.43,0,-0,-180,9.99999999998992
0.432,0,-0,-180,9.99999999998991
0.434,0,-0,-180,9.99999999998991
0.436,0,-0,-180,9.99999999998992
0.438,0,-0,-180,9.99999999998991
0.44,0,-0,-180,9.99999999998991
0.442,0,-0,-180,9.99999999998991
0.444,0,-0,-180,9.99999999998991
0.446,0,-0,-180,9.99999999998991
0.448,0,-0,-180,9.99999999998991
0.45,0,-0,-180,9.99999999998991
0.452,0,-0,-180,9.99999999998991
0.454,0,-0,-180,9.99999999998991
0.456,0,-0,-180,9.99999999998991
0.458,0,-0,-180,9.99999999998991
0.46,0,-0,-180,9.99999999998992
0.462,0,-0,-180,9.99999999998991
0.464,0,-0,-180,9.99999999998991
0.466,0,-0,-180,9.99999999998991
0.468,0,-0,-180,9.99999999998991
0.47,0,-0,-180,9.99999999998991
0.472,0,-0,-180,9.99999999998991
0.474,0,-0,-180,9.99999999998991
0.476,0,-0,-180,9.99999999998991
0.478,0,-0,-180,9.99999999998991
0.48,0,-0,-180,9.99999999998991
0.482,0,-0,-180,9.99999999998991
0.484,0,-0,-180,9.99999999998991
0.486,0,-0,-180,9.99999999998992
0.488,0,-0,-180,9.99999999998991
0.49,0,-0,-180,9.99999999998991
0.492,0,-0,-180,9.99999999998991
0.494,0,-0,-180,9.99999999998991
0.496,0,-0,-180,9.99999999998991
0.498,0,-0,-180,9.99999999998991
0.5,0,-0,-180,9.99999999998991
0.502,0,-0,-180,9.99999999998992
0.504,0,-0,-180,9.99999999998992
0.506,0,-0,-180,9.99999999998992
0.508,0,-0,-180,9.99999999998992
0.51,0,-0,-180,9.99999999998991
0.512,0,-0,-180,9.99999999998991
0.514,0,-0,-180,9.99999999998991
0.516,0,-0,-180,9.99999999998992
0.518,0,-0,-180,9.99999999998991
0.52,0,-0,-180,9.99999999998991
0.522,0,-0,-180,9.99999999998991
0.524,0,-0,-180,9.99999999998991
0.526,0,-0,-180,9.99999999998991
0.528,0,-0,-180,9.99999999998992
0.53,0,-0,-180,9.99999999998991
0.532,0,-0,-180,9.99999999998991
0.534,0,-0,-180,9.99999999998991
0.536,0,-0,-180,9.99999999998992
0.538,0,-0,-180,9.99999999998992
0.54,0,-0,-180,9.99999999998991
0.542,0,-0,-180,9.99999999998992
0.544,0,-0,-180,9.99999999998991
0.546,0,-0,-180,9.99999999998991
0.548,0,-0,-180,9.99999999998992
0.55,0,-0,-180,9.99999999998991
0.552,0,-0,-180,9.99999999998991
0.554,0,-0,-180,9.99999999998991
0.556,0,-0,-180,9.99999999998991
0.558,0,-0,-180,9.99999999998991
0.56,0,-0,-180,9.99999999998992
0.562,0,-0,-180,9.99999999998991
0.564,0,-0,-180,9.99999999998991
0.566,0,-0,-180,9.99999999998991
0.568,0,-0,-180,9.99999999998992
0.57,0,-0,-180,9.99999999998991
0.572,0,-0,-180,9.99999999998991
0.574,0,-0,-180,9.99999999998991
0.576,0,-0,-180,9.99999999998991
0.578,0,-0,-180,9.99999999998991
0.58,0,-0,-180,9.99999999998991
0.582,0,-0,-180,9.99999999998991
0.584,0,-0,-180,9.99999999998991
0.586,0,-0,-180,9.99999999998991
0.588,0,-0,-180,9.99999999998991
0.59,0,-0,-180,9.99999999998991
0.592,0,-0,-180,9.99999999998991
0.594,0,-0,-180,9.99999999998991
0.596,0,-0,-180,9.99999999998991
0.598,0,-0,-180,9.99999999998991
0.6,0,-0,-180,9.99999999998991
0.602,0,-0,-180,9.99999999998991
0.604,0,-0,-180,9.99999999998991
0.606,0,-0,-180,9.99999999998991
0.608,0,-0,-180,9.99999999998991
0.61,0,-0,-180,9.99999999998991
0.612,0,-0,-180,9.99999999998991
0.614,0,-0,-180,9.99999999998991
0.616,0,-0,-180,9.99999999998991
0.618,0,-0,-180,9.99999999998991
0.62,0,-0,-180,9.99999999998991
0.622,0,-0,-180,9.99999999998991
0.624,0,-0,-180,9.99999999998991
0.626,0,-0,-180,9.99999999998991
0.628,0,-0,-180,9.99999999998991
0.63,0,-0,-180,9.99999999998991
0.632,0,-0,-180,9.99999999998991
0.634,0,-0,-180,9.99999999998991
0.636,0,-0,-180,9.99999999998991
0.638,0,-0,-180,9.99999999998991
0.64,0,-0,-180,9.99999999998991
0.642,0,-0,-180,9.99999999998991
0.644,0,-0,-180,9.99999999998991
0.646,0,-0,-180,9.99999999998991
0.648,0,-0,-180,9.99999999998991
0.65,0,-0,-180,9.99999999998991
0.652,0,-0,-180,9.99999999998991
0.654,0,-0,-180,9.99999999998991
0.656,0,-0,-180,9.99999999998991
0.658,0,-0,-180,9.99999999998991
0.66,0,-0,-180,9.99999999998991
0.662,0,-0,-180,9.99999999998991
0.664,0,-0,-180,9.99999999998991
0.666,0,-0,-180,9.99999999998992
0.668,0,-0,-180,9.99999999998991
0.67,0,-0,-180,9.99999999998991
0.672,0,-0,-180,9.99999999998991
0.674,0,-0,-180,9.99999999998991
0.676,0,-0,-180,9.99999999998991
