Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.9999999999994
0.002,0,-0,-180,9.99999999999919
0.004,0,-0,-180,9.99999999999648
0.006,0,-0,-180,9.99999999999725
0.008,0,-0,-180,9.99999999999729
0.01,0,-0,-180,9.99999999999755
0.012,0,-0,-180,9.99999999999832
0.014,0,-0,-180,9.99999999999865
0.016,0,-0,-180,9.99999999999856
0.018,0,-0,-180,9.9999999999987
0.02,0,-0,-180,9.9999999999988
0.022,0,-0,-180,9.99999999999891
0.024,0,-0,-180,9.9999999999932
0.026,0,-0,-180,9.99999999999418
0.028,0,-0,-180,9.99999999999515
0.03,0,-0,-180,9.99999999999613
0.032,0,-0,-180,9.99999999999515
0.034,0,-0,-180,9.99999999999499
0.036,0,-0,-180,9.99999999999496
0.038,0,-0,-180,9.99999999999431
0.04,0,-0,-180,9.99999999999384
0.042,0,-0,-180,9.9999999999935
0.044,0,-0,-180,9.99999999999319
0.046,0,-0,-180,9.99999999999311
0.048,0,-0,-180,9.99999999999318
0.05,0,-0,-180,9.99999999999318
0.052,0,-0,-180,9.99999999999314
0.054,0,-0,-180,9.99999999999312
0.056,0,-0,-180,9.9999999999931
0.058,0,-0,-180,9.99999999999309
0.06,0,-0,-180,9.99999999999308
0.062,0,-0,-180,9.99999999999308
0.064,0,-0,-180,9.99999999999308
0.066,0,-0,-180,9.99999999999314
0.068,0,-0,-180,9.99999999999317
0.07,0,-0,-180,9.99999999999319
0.072,0,-0,-180,9.99999999999319
0.074,0,-0,-180,9.9999999999932
0.076,0,-0,-180,9.99999999999318
0.078,0,-0,-180,9.99999999999311
0.08,0,-0,-180,9.99999999999304
0.082,0,-0,-180,9.99999999999298
0.084,0,-0,-180,9.99999999999292
0.086,0,-0,-180,9.99999999999288
0.088,0,-0,-180,9.99999999999286
0.09,0,-0,-180,9.99999999999281
0.092,0,-0,-180,9.99999999999278
0.094,0,-0,-180,9.99999999999275
0.096,0,-0,-180,9.99999999999272
0.098,0,-0,-180,9.99999999999269
0.1,0,-0,-180,9.99999999999266
0.102,0,-0,-180,9.99999999999264
0.104,0,-0,-180,9.99999999999262
0.106,0,-0,-180,9.9999999999926
0.108,0,-0,-180,9.99999999999258
0.11,0,-0,-180,9.99999999999256
0.112,0,-0,-180,9.99999999999254
0.114,0,-0,-180,9.99999999999252
0.116,0,-0,-180,9.99999999999251
0.118,0,-0,-180,9.99999999999249
0.12,0,-0,-180,9.99999999999248
0.122,0,-0,-180,9.99999999999247
0.124,0,-0,-180,9.99999999999246
0.126,0,-0,-180,9.99999999999245
0.128,0,-0,-180,9.99999999999245
0.13,0,-0,-180,9.99999999999244
0.132,0,-0,-180,9.99999999999243
0.134,0,-0,-180,9.99999999999243
0.136,0,-0,-180,9.99999999999243
0.138,0,-0,-180,9.99999999999243
0.14,0,-0,-180,9.99999999999242
0.142,0,-0,-180,9.99999999999242
0.144,0,-0,-180,9.99999999999242
0.146,0,-0,-180,9.99999999999242
0.148,0,-0,-180,9.99999999999242
0.15,0,-0,-180,9.99999999999242
