Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.99999999999863
0.002,0,-0,-180,9.99999999999929
0.004,0,-0,-180,9.99999999999703
0.006,0,-0,-180,9.99999999999801
0.008,0,-0,-180,9.9999999999984
0.01,0,-0,-180,9.99999999999861
0.012,0,-0,-180,9.99999999999872
0.014,0,-0,-180,9.99999999999894
0.016,0,-0,-180,9.999999999999
0.018,0,-0,-180,9.99999999999898
0.02,0,-0,-180,9.99999999999334
0.022,0,-0,-180,9.99999999999376
0.024,0,-0,-180,9.99999999999421
0.026,0,-0,-180,9.99999999999472
0.028,0,-0,-180,9.99999999999532
0.03,0,-0,-180,9.99999999999601
0.032,0,-0,-180,9.9999999999966
0.034,0,-0,-180,9.99999999999711
0.036,0,-0,-180,9.99999999999755
0.038,0,-0,-180,9.99999999999763
0.04,0,-0,-180,9.99999999999669
0.042,0,-0,-180,9.9999999999964
0.044,0,-0,-180,9.9999999999963
0.046,0,-0,-180,9.99999999999588
0.048,0,-0,-180,9.9999999999955
0.05,0,-0,-180,9.99999999999517
0.052,0,-0,-180,9.99999999999489
0.054,0,-0,-180,9.99999999999464
0.056,0,-0,-180,9.99999999999438
0.058,0,-0,-180,9.99999999999414
0.06,0,-0,-180,9.99999999999393
0.062,0,-0,-180,9.99999999999377
0.064,0,-0,-180,9.99999999999376
0.066,0,-0,-180,9.99999999999376
0.068,0,-0,-180,9.99999999999376
0.07,0,-0,-180,9.99999999999374
0.072,0,-0,-180,9.99999999999372
0.074,0,-0,-180,9.99999999999369
0.076,0,-0,-180,9.99999999999367
0.078,0,-0,-180,9.99999999999365
0.08,0,-0,-180,9.99999999999363
0.082,0,-0,-180,9.99999999999362
0.084,0,-0,-180,9.99999999999361
0.086,0,-0,-180,9.9999999999936
0.088,0,-0,-180,9.99999999999359
0.09,0,-0,-180,9.99999999999358
0.092,0,-0,-180,9.99999999999357
0.094,0,-0,-180,9.99999999999357
0.096,0,-0,-180,9.99999999999356
0.098,0,-0,-180,9.99999999999355
0.1,0,-0,-180,9.99999999999355
0.102,0,-0,-180,9.99999999999355
0.104,0,-0,-180,9.99999999999354
0.106,0,-0,-180,9.99999999999354
0.108,0,-0,-180,9.99999999999354
0.11,0,-0,-180,9.99999999999354
0.112,0,-0,-180,9.99999999999354
0.114,0,-0,-180,9.99999999999353
0.116,0,-0,-180,9.99999999999353
0.118,0,-0,-180,9.99999999999353
0.12,0,-0,-180,9.99999999999353
0.122,0,-0,-180,9.99999999999352
0.124,0,-0,-180,9.99999999999352
0.126,0,-0,-180,9.99999999999352
0.128,0,-0,-180,9.99999999999352
0.13,0,-0,-180,9.99999999999351
0.132,0,-0,-180,9.99999999999351
0.134,0,-0,-180,9.99999999999351
0.136,0,-0,-180,9.99999999999351
0.138,0,-0,-180,9.99999999999351
0.14,0,-0,-180,9.99999999999351
0.142,0,-0,-180,9.99999999999351
0.144,0,-0,-180,9.99999999999351
0.146,0,-0,-180,9.99999999999351
0.148,0,-0,-180,9.99999999999351
0.15,0,-0,-180,9.99999999999351
0.152,0,-0,-180,9.99999999999351
0.154,0,-0,-180,9.99999999999351
0.156,0,-0,-180,9.99999999999351
0.158,0,-0,-180,9.99999999999351
0.16,0,-0,-180,9.99999999999351
0.162,0,-0,-180,9.99999999999351
0.164,0,-0,-180,9.99999999999351
0.166,0,-0,-180,9.99999999999351
0.168,0,-0,-180,9.99999999999351
0.17,0,-0,-180,9.99999999999351
0.172,0,-0,-180,9.99999999999351
0.174,0,-0,-180,9.99999999999351
0.176,0,-0,-180,9.99999999999351
0.178,0,-0,-180,9.99999999999351
0.18,0,-0,-180,9.99999999999351
0.182,0,-0,-180,9.99999999999351
0.184,0,-0,-180,9.99999999999351
0.186,0,-0,-180,9.99999999999351
0.188,0,-0,-180,9.99999999999351
0.19,0,-0,-180,9.99999999999351
0.192,0,-0,-180,9.99999999999351
0.194,0,-0,-180,9.99999999999351
0.196,0,-0,-180,9.99999999999351
0.198,0,-0,-180,9.99999999999351
0.2,0,-0,-180,9.99999999999351
0.202,0,-0,-180,9.99999999999351
0.204,0,-0,-180,9.99999999999351
0.206,0,-0,-180,9.99999999999351
0.208,0,-0,-180,9.99999999999351
0.21,0,-0,-180,9.99999999999351
0.212,0,-0,-180,9.99999999999351
0.214,0,-0,-180,9.99999999999351
0.216,0,-0,-180,9.99999999999351
0.218,0,-0,-180,9.99999999999351
0.22,0,-0,-180,9.99999999999351
0.222,0,-0,-180,9.99999999999351
0.224,0,-0,-180,9.99999999999351
0.226,0,-0,-180,9.99999999999351
0.228,0,-0,-180,9.99999999999351
0.23,0,-0,-180,9.99999999999351
0.232,0,-0,-180,9.99999999999351
0.234,0,-0,-180,9.99999999999351
0.236,0,-0,-180,9.99999999999351
0.238,0,-0,-180,9.99999999999351
0.24,0,-0,-180,9.99999999999351
0.242,0,-0,-180,9.99999999999351
0.244,0,-0,-180,9.99999999999351
0.246,0,-0,-180,9.99999999999351
0.248,0,-0,-180,9.99999999999351
0.25,0,-0,-180,9.99999999999351
0.252,0,-0,-180,9.99999999999351
0.254,0,-0,-180,9.99999999999351
0.256,0,-0,-180,9.99999999999351
0.258,0,-0,-180,9.99999999999351
0.26,0,-0,-180,9.99999999999351
0.262,0,-0,-180,9.99999999999351
0.264,0,-0,-180,9.99999999999351
0.266,0,-0,-180,9.99999999999351
0.268,0,-0,-180,9.99999999999351
0.27,0,-0,-180,9.99999999999351
0.272,0,-0,-180,9.99999999999351
0.274,0,-0,-180,9.99999999999351
0.276,0,-0,-180,9.99999999999351
0.278,0,-0,-180,9.99999999999351
0.28,0,-0,-180,9.99999999999351
0.282,0,-0,-180,9.99999999999351
