Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.99999999999928
0.002,0,-0,-180,9.99999999999567
0.004,0,-0,-180,9.99999999999592
0.006,0,-0,-180,9.99999999999637
0.008,0,-0,-180,9.99999999999696
0.01,0,-0,-180,9.99999999999756
0.012,0,-0,-180,9.99999999999811
0.014,0,-0,-180,9.99999999999837
0.016,0,-0,-180,9.9999999999897
0.018,0,-0,-180,9.99999999999047
0.02,0,-0,-180,9.9999999999911
0.022,0,-0,-180,9.99999999999036
0.024,0,-0,-180,9.99999999998565
0.026,0,-0,-180,9.99999999999747
0.028,0,-0,-180,9.99999999999699
0.03,0,-0,-180,9.99999999999647
0.032,0,-0,-180,9.99999999999597
0.034,0,-0,-180,9.99999999999552
0.036,0,-0,-180,9.9999999999951
0.038,0,-0,-180,9.99999999999479
0.04,0,-0,-180,9.99999999999466
0.042,0,-0,-180,9.99999999999454
0.044,0,-0,-180,9.99999999999443
0.046,0,-0,-180,9.99999999999423
0.048,0,-0,-180,9.99999999999403
0.05,0,-0,-180,9.99999999999384
0.052,0,-0,-180,9.99999999999369
0.054,0,-0,-180,9.99999999999356
0.056,0,-0,-180,9.99999999999345
0.058,0,-0,-180,9.99999999999334
0.06,0,-0,-180,9.99999999999322
0.062,0,-0,-180,9.99999999999314
0.064,0,-0,-180,9.99999999999303
0.066,0,-0,-180,9.99999999999295
0.068,0,-0,-180,9.99999999999285
0.07,0,-0,-180,9.9999999999928
0.072,0,-0,-180,9.99999999999272
0.074,0,-0,-180,9.99999999999265
0.076,0,-0,-180,9.99999999999265
0.078,0,-0,-180,9.99999999999259
0.08,0,-0,-180,9.99999999999253
0.082,0,-0,-180,9.99999999999253
0.084,0,-0,-180,9.99999999999255
0.086,0,-0,-180,9.99999999999252
0.088,0,-0,-180,9.99999999999252
0.09,0,-0,-180,9.99999999999253
0.092,0,-0,-180,9.99999999999255
0.094,0,-0,-180,9.99999999999256
0.096,0,-0,-180,9.99999999999257
0.098,0,-0,-180,9.99999999999259
0.1,0,-0,-180,9.9999999999926
0.102,0,-0,-180,9.99999999999261
0.104,0,-0,-180,9.9999999999926
0.106,0,-0,-180,9.9999999999926
0.108,0,-0,-180,9.99999999999259
0.11,0,-0,-180,9.99999999999259
0.112,0,-0,-180,9.99999999999259
0.114,0,-0,-180,9.99999999999258
0.116,0,-0,-180,9.99999999999258
0.118,0,-0,-180,9.99999999999258
0.12,0,-0,-180,9.99999999999258
0.122,0,-0,-180,9.99999999999258
0.124,0,-0,-180,9.99999999999257
0.126,0,-0,-180,9.99999999999257
0.128,0,-0,-180,9.99999999999257
0.13,0,-0,-180,9.99999999999257
0.132,0,-0,-180,9.99999999999257
0.134,0,-0,-180,9.99999999999257
0.136,0,-0,-180,9.99999999999257
0.138,0,-0,-180,9.99999999999257
0.14,0,-0,-180,9.99999999999257
0.142,0,-0,-180,9.99999999999257
0.144,0,-0,-180,9.99999999999257
0.146,0,-0,-180,9.99999999999257
0.148,0,-0,-180,9.99999999999257
0.15,0,-0,-180,9.99999999999257
0.152,0,-0,-180,9.99999999999256
0.154,0,-0,-180,9.99999999999256
0.156,0,-0,-180,9.99999999999256
0.158,0,-0,-180,9.99999999999256
0.16,0,-0,-180,9.99999999999256
0.162,0,-0,-180,9.99999999999256
0.164,0,-0,-180,9.99999999999256
