Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.99999999999949
0.002,0,-0,-180,9.9999999999977
0.004,0,-0,-180,9.99999999999807
0.006,0,-0,-180,9.99999999999869
0.008,0,-0,-180,9.99999999999882
0.01,0,-0,-180,9.99999999999932
0.012,0,-0,-180,9.99999999999668
0.014,0,-0,-180,9.999999999997
0.016,0,-0,-180,9.99999999999724
0.018,0,-0,-180,9.99999999999742
0.02,0,-0,-180,9.99999999999756
0.022,0,-0,-180,9.99999999999767
0.024,0,-0,-180,9.99999999999776
0.026,0,-0,-180,9.99999999999785
0.028,0,-0,-180,9.99999999999793
0.03,0,-0,-180,9.99999999999802
0.032,0,-0,-180,9.99999999999804
0.034,0,-0,-180,9.99999999999793
0.036,0,-0,-180,9.99999999999775
0.038,0,-0,-180,9.9999999999975
0.04,0,-0,-180,9.99999999999699
0.042,0,-0,-180,9.99999999999653
0.044,0,-0,-180,9.99999999999594
0.046,0,-0,-180,9.99999999999543
0.048,0,-0,-180,9.99999999999495
0.05,0,-0,-180,9.99999999999453
0.052,0,-0,-180,9.99999999999415
0.054,0,-0,-180,9.99999999999376
0.056,0,-0,-180,9.9999999999934
0.058,0,-0,-180,9.99999999999305
0.06,0,-0,-180,9.99999999999274
0.062,0,-0,-180,9.99999999999244
0.064,0,-0,-180,9.99999999999216
0.066,0,-0,-180,9.99999999999192
0.068,0,-0,-180,9.9999999999917
0.07,0,-0,-180,9.99999999999158
0.072,0,-0,-180,9.99999999999147
0.074,0,-0,-180,9.99999999999137
0.076,0,-0,-180,9.99999999999128
0.078,0,-0,-180,9.9999999999912
0.08,0,-0,-180,9.99999999999113
0.082,0,-0,-180,9.99999999999106
0.084,0,-0,-180,9.99999999999101
0.086,0,-0,-180,9.99999999999095
0.088,0,-0,-180,9.9999999999909
0.09,0,-0,-180,9.99999999999086
0.092,0,-0,-180,9.99999999999082
0.094,0,-0,-180,9.99999999999078
0.096,0,-0,-180,9.99999999999075
0.098,0,-0,-180,9.99999999999072
0.1,0,-0,-180,9.9999999999907
0.102,0,-0,-180,9.99999999999067
0.104,0,-0,-180,9.99999999999065
0.106,0,-0,-180,9.99999999999063
0.108,0,-0,-180,9.99999999999061
0.11,0,-0,-180,9.99999999999059
0.112,0,-0,-180,9.99999999999058
0.114,0,-0,-180,9.99999999999056
0.116,0,-0,-180,9.99999999999055
0.118,0,-0,-180,9.99999999999054
0.12,0,-0,-180,9.99999999999053
0.122,0,-0,-180,9.99999999999052
0.124,0,-0,-180,9.99999999999051
0.126,0,-0,-180,9.99999999999051
0.128,0,-0,-180,9.9999999999905
0.13,0,-0,-180,9.99999999999049
0.132,0,-0,-180,9.99999999999049
0.134,0,-0,-180,9.99999999999048
0.136,0,-0,-180,9.99999999999048
0.138,0,-0,-180,9.99999999999048
0.14,0,-0,-180,9.99999999999047
0.142,0,-0,-180,9.99999999999047
0.144,0,-0,-180,9.99999999999046
0.146,0,-0,-180,9.99999999999046
0.148,0,-0,-180,9.99999999999046
0.15,0,-0,-180,9.99999999999046
0.152,0,-0,-180,9.99999999999046
0.154,0,-0,-180,9.99999999999045
0.156,0,-0,-180,9.99999999999045
0.158,0,-0,-180,9.99999999999045
0.16,0,-0,-180,9.99999999999045
0.162,0,-0,-180,9.99999999999045
0.164,0,-0,-180,9.99999999999045
0.166,0,-0,-180,9.99999999999044
0.168,0,-0,-180,9.99999999999044
0.17,0,-0,-180,9.99999999999044
0.172,0,-0,-180,9.99999999999044
0.174,0,-0,-180,9.99999999999044
0.176,0,-0,-180,9.99999999999044
0.178,0,-0,-180,9.99999999999044
0.18,0,-0,-180,9.99999999999044
0.182,0,-0,-180,9.99999999999044
0.184,0,-0,-180,9.99999999999044
0.186,0,-0,-180,9.99999999999044
0.188,0,-0,-180,9.99999999999044
0.19,0,-0,-180,9.99999999999044
0.192,0,-0,-180,9.99999999999044
0.194,0,-0,-180,9.99999999999044
0.196,0,-0,-180,9.99999999999044
0.198,0,-0,-180,9.99999999999044
0.2,0,-0,-180,9.99999999999044
0.202,0,-0,-180,9.99999999999044
0.204,0,-0,-180,9.99999999999044
0.206,0,-0,-180,9.99999999999044
0.208,0,-0,-180,9.99999999999044
0.21,0,-0,-180,9.99999999999044
0.212,0,-0,-180,9.99999999999044
0.214,0,-0,-180,9.99999999999044
0.216,0,-0,-180,9.99999999999044
0.218,0,-0,-180,9.99999999999044
0.22,0,-0,-180,9.99999999999044
0.222,0,-0,-180,9.99999999999044
0.224,0,-0,-180,9.99999999999044
0.226,0,-0,-180,9.99999999999044
0.228,0,-0,-180,9.99999999999044
0.23,0,-0,-180,9.99999999999044
0.232,0,-0,-180,9.99999999999044
0.234,0,-0,-180,9.99999999999044
0.236,0,-0,-180,9.99999999999044
0.238,0,-0,-180,9.99999999999044
0.24,0,-0,-180,9.99999999999044
0.242,0,-0,-180,9.99999999999044
0.244,0,-0,-180,9.99999999999044
0.246,0,-0,-180,9.99999999999044
0.248,0,-0,-180,9.99999999999044
0.25,0,-0,-180,9.99999999999044
0.252,0,-0,-180,9.99999999999044
0.254,0,-0,-180,9.99999999999044
0.256,0,-0,-180,9.99999999999044
0.258,0,-0,-180,9.99999999999044
0.26,0,-0,-180,9.99999999999044
0.262,0,-0,-180,9.99999999999044
0.264,0,-0,-180,9.99999999999044
0.266,0,-0,-180,9.99999999999044
0.268,0,-0,-180,9.99999999999044
0.27,0,-0,-180,9.99999999999044
0.272,0,-0,-180,9.99999999999044
0.274,0,-0,-180,9.99999999999044
0.276,0,-0,-180,9.99999999999044
0.278,0,-0,-180,9.99999999999044
0.28,0,-0,-180,9.99999999999044
0.282,0,-0,-180,9.99999999999044
0.284,0,-0,-180,9.99999999999044
0.286,0,-0,-180,9.99999999999044
0.288,0,-0,-180,9.99999999999044
0.29,0,-0,-180,9.99999999999044
0.292,0,-0,-180,9.99999999999044
0.294,0,-0,-180,9.99999999999044
0.296,0,-0,-180,9.99999999999044
0.298,0,-0,-180,9.99999999999044
0.3,0,-0,-180,9.99999999999044
0.302,0,-0,-180,9.99999999999044
0.304,0,-0,-180,9.99999999999044
0.306,0,-0,-180,9.99999999999044
0.308,0,-0,-180,9.99999999999044
0.31,0,-0,-180,9.99999999999044
0.312,0,-0,-180,9.99999999999044
0.314,0,-0,-180,9.99999999999044
0.316,0,-0,-180,9.99999999999044
0.318,0,-0,-180,9.99999999999044
0.32,0,-0,-180,9.99999999999044
0.322,0,-0,-180,9.99999999999044
0.324,0,-0,-180,9.99999999999044
0.326,0,-0,-180,9.99999999999044
0.328,0,-0,-180,9.99999999999044
0.33,0,-0,-180,9.99999999999044
0.332,0,-0,-180,9.99999999999044
0.334,0,-0,-180,9.99999999999044
0.336,0,-0,-180,9.99999999999044
0.338,0,-0,-180,9.99999999999044
0.34,0,-0,-180,9.99999999999044
0.342,0,-0,-180,9.99999999999044
0.344,0,-0,-180,9.99999999999044
0.346,0,-0,-180,9.99999999999044
0.348,0,-0,-180,9.99999999999044
0.35,0,-0,-180,9.99999999999044
0.352,0,-0,-180,9.99999999999044
0.354,0,-0,-180,9.99999999999044
0.356,0,-0,-180,9.99999999999044
0.358,0,-0,-180,9.99999999999044
0.36,0,-0,-180,9.99999999999044
0.362,0,-0,-180,9.99999999999044
0.364,0,-0,-180,9.99999999999044
0.366,0,-0,-180,9.99999999999044
0.368,0,-0,-180,9.99999999999044
0.37,0,-0,-180,9.99999999999044
0.372,0,-0,-180,9.99999999999044
0.374,0,-0,-180,9.99999999999044
0.376,0,-0,-180,9.99999999999044
0.378,0,-0,-180,9.99999999999044
0.38,0,-0,-180,9.99999999999044
0.382,0,-0,-180,9.99999999999044
0.384,0,-0,-180,9.99999999999044
0.386,0,-0,-180,9.99999999999044
0.388,0,-0,-180,9.99999999999044
0.39,0,-0,-180,9.99999999999044
0.392,0,-0,-180,9.99999999999044
0.394,0,-0,-180,9.99999999999044
0.396,0,-0,-180,9.99999999999044
0.398,0,-0,-180,9.99999999999044
0.4,0,-0,-180,9.99999999999044
0.402,0,-0,-180,9.99999999999044
0.404,0,-0,-180,9.99999999999044
0.406,0,-0,-180,9.99999999999044
0.408,0,-0,-180,9.99999999999044
0.41,0,-0,-180,9.99999999999044
0.412,0,-0,-180,9.99999999999044
0.414,0,-0,-180,9.99999999999044
0.416,0,-0,-180,9.99999999999044
0.418,0,-0,-180,9.99999999999044
0.42,0,-0,-180,9.99999999999044
0.422,0,-0,-180,9.99999999999044
0.424,0,-0,-180,9.99999999999044
0.426,0,-0,-180,9.99999999999044
0.428,0,-0,-180,9.99999999999044
0.43,0,-0,-180,9.99999999999044
0.432,0,-0,-180,9.99999999999044
0.434,0,-0,-180,9.99999999999044
0.436,0,-0,-180,9.99999999999044
0.438,0,-0,-180,9.99999999999044
0.44,0,-0,-180,9.99999999999044
0.442,0,-0,-180,9.99999999999044
0.444,0,-0,-180,9.99999999999044
0.446,0,-0,-180,9.99999999999044
0.448,0,-0,-180,9.99999999999044
0.45,0,-0,-180,9.99999999999044
0.452,0,-0,-180,9.99999999999044
0.454,0,-0,-180,9.99999999999044
0.456,0,-0,-180,9.99999999999044
0.458,0,-0,-180,9.99999999999044
0.46,0,-0,-180,9.99999999999044
0.462,0,-0,-180,9.99999999999044
0.464,0,-0,-180,9.99999999999044
0.466,0,-0,-180,9.99999999999044
0.468,0,-0,-180,9.99999999999044
0.47,0,-0,-180,9.99999999999044
0.472,0,-0,-180,9.99999999999044
0.474,0,-0,-180,9.99999999999044
0.476,0,-0,-180,9.99999999999044
0.478,0,-0,-180,9.99999999999044
0.48,0,-0,-180,9.99999999999044
0.482,0,-0,-180,9.99999999999044
0.484,0,-0,-180,9.99999999999044
0.486,0,-0,-180,9.99999999999044
0.488,0,-0,-180,9.99999999999044
0.49,0,-0,-180,9.99999999999044
0.492,0,-0,-180,9.99999999999044
0.494,0,-0,-180,9.99999999999044
0.496,0,-0,-180,9.99999999999044
0.498,0,-0,-180,9.99999999999044
0.5,0,-0,-180,9.99999999999044
0.502,0,-0,-180,9.99999999999044
0.504,0,-0,-180,9.99999999999044
0.506,0,-0,-180,9.99999999999044
0.508,0,-0,-180,9.99999999999044
0.51,0,-0,-180,9.99999999999044
0.512,0,-0,-180,9.99999999999044
0.514,0,-0,-180,9.99999999999044
0.516,0,-0,-180,9.99999999999044
0.518,0,-0,-180,9.99999999999044
0.52,0,-0,-180,9.99999999999044
0.522,0,-0,-180,9.99999999999044
0.524,0,-0,-180,9.99999999999044
0.526,0,-0,-180,9.99999999999044
0.528,0,-0,-180,9.99999999999044
0.53,0,-0,-180,9.99999999999044
0.532,0,-0,-180,9.99999999999044
0.534,0,-0,-180,9.99999999999044
0.536,0,-0,-180,9.99999999999044
0.538,0,-0,-180,9.99999999999044
0.54,0,-0,-180,9.99999999999044
0.542,0,-0,-180,9.99999999999044
0.544,0,-0,-180,9.99999999999044
0.546,0,-0,-180,9.99999999999044
0.548,0,-0,-180,9.99999999999044
0.55,0,-0,-180,9.99999999999044
0.552,0,-0,-180,9.99999999999044
0.554,0,-0,-180,9.99999999999044
0.556,0,-0,-180,9.99999999999044
0.558,0,-0,-180,9.99999999999044
0.56,0,-0,-180,9.99999999999044
0.562,0,-0,-180,9.99999999999044
0.564,0,-0,-180,9.99999999999044
0.566,0,-0,-180,9.99999999999044
0.568,0,-0,-180,9.99999999999044
0.57,0,-0,-180,9.99999999999044
0.572,0,-0,-180,9.99999999999044
0.574,0,-0,-180,9.99999999999044
0.576,0,-0,-180,9.99999999999044
0.578,0,-0,-180,9.99999999999044
0.58,0,-0,-180,9.99999999999044
0.582,0,-0,-180,9.99999999999044
0.584,0,-0,-180,9.99999999999044
0.586,0,-0,-180,9.99999999999044
0.588,0,-0,-180,9.99999999999044
0.59,0,-0,-180,9.99999999999044
0.592,0,-0,-180,9.99999999999044
0.594,0,-0,-180,9.99999999999044
0.596,0,-0,-180,9.99999999999044
