Time,Theta,Alpha,Input
0,-0,-180,3267.25635973338
0.001,-0,-180,125.663706143592
0.002,-0,-180,125.663706143592
0.003,-0,-180,125.663706143592
0.004,-0,-180,125.663706143592
0.005,-0,-180,125.663706143592
0.006,-0,-180,125.663706143592
0.007,-0,-180,125.663706143592
0.008,-0,-180,125.663706143592
0.009,-0,-180,125.663706143592
0.01,-0,-180,125.663706143592
0.011,-0,-180,125.663706143592
0.012,-0,-180,125.663706143592
0.013,-0,-179.82421875,122.47302610479
0.014,-0,-179.82421875,125.540987680561
0.015,-0,-179.82421875,125.540987680561
0.016,-0,-179.82421875,125.540987680561
0.017,-0,-179.82421875,125.540987680561
0.018,-0,-179.82421875,125.540987680561
0.019,-0,-179.82421875,125.540987680561
0.02,-0,-179.82421875,125.540987680561
0.021,-0,-179.82421875,125.540987680561
0.022,-0,-179.82421875,125.540987680561
0.023,-0,-179.82421875,125.540987680561
0.024,-0,-179.82421875,125.540987680561
0.025,-0,-179.82421875,125.540987680561
0.026,-0,-179.82421875,125.540987680561
0.027,-0,-179.82421875,125.540987680561
0.028,-0,-179.82421875,125.540987680561
0.029,-0,-179.82421875,125.540987680561
0.03,-0,-179.82421875,125.540987680561
0.031,-0,-179.82421875,125.540987680561
0.032,-0,-179.82421875,125.540987680561
0.033,-0,-179.82421875,125.540987680561
0.034,-0,-179.82421875,125.540987680561
0.035,-0,-179.82421875,125.540987680561
0.036,-0,-179.82421875,125.540987680561
0.037,-0,-179.82421875,125.540987680561
0.038,-0,-179.82421875,125.540987680561
0.039,-0,-179.82421875,125.540987680561
0.04,-0,-179.82421875,125.540987680561
0.041,-0,-179.82421875,125.540987680561
0.042,-0,-179.82421875,125.540987680561
0.043,-0,-179.82421875,125.540987680561
0.044,-0,-179.82421875,125.540987680561
0.045,-0,-179.82421875,125.540987680561
0.046,-0,-179.82421875,125.540987680561
0.047,-0,-179.82421875,125.540987680561
0.048,-0,-179.82421875,125.540987680561
0.049,-0,-179.82421875,125.540987680561
0.05,-0,-179.82421875,125.540987680561
0.051,-0,-179.82421875,125.540987680561
0.052,-0,-179.82421875,125.540987680561
0.053,-0,-179.82421875,125.540987680561
0.054,-0,-179.82421875,125.540987680561
0.055,-0,-179.82421875,125.540987680561
0.056,-0,-179.82421875,125.540987680561
0.057,-0,-179.82421875,125.540987680561
0.058,-0,-179.82421875,125.540987680561
0.059,-0,-179.82421875,125.540987680561
0.06,-0,-179.82421875,125.540987680561
0.061,-0,-179.82421875,125.540987680561
0.062,-0,-179.82421875,125.540987680561
0.063,-0,-179.82421875,125.540987680561
0.064,-0,-179.82421875,125.540987680561
0.065,-0,-179.82421875,125.540987680561
0.066,-0,-179.82421875,125.540987680561
0.067,-0,-179.82421875,125.540987680561
0.068,-0,-179.82421875,125.540987680561
0.069,-0,-179.82421875,125.540987680561
0.07,-0,-179.82421875,125.540987680561
0.071,-0,-179.82421875,125.540987680561
0.072,-0,-179.82421875,125.540987680561
0.073,-0,-179.82421875,125.540987680561
0.074,-0,-179.82421875,125.540987680561
0.075,-0,-179.82421875,125.540987680561
0.076,-0,-179.82421875,125.540987680561
0.077,-0,-179.82421875,125.540987680561
0.078,-0,-179.82421875,125.540987680561
0.079,-0,-179.82421875,125.540987680561
0.08,-0,-179.82421875,125.540987680561
0.081,-0,-179.82421875,125.540987680561
0.082,-0,-179.82421875,125.540987680561
0.083,-0,-179.82421875,125.540987680561
0.084,-0,-179.82421875,125.540987680561
0.085,-0,-179.82421875,125.540987680561
0.086,-0,-179.82421875,125.540987680561
0.087,-0,-179.82421875,125.540987680561
0.088,-0,-179.82421875,125.540987680561
0.089,-0,-179.82421875,125.540987680561
0.09,-0,-179.82421875,125.540987680561
0.091,-0,-179.82421875,125.540987680561
0.092,-0,-179.82421875,125.540987680561
0.093,-0,-179.82421875,125.540987680561
0.094,-0,-179.82421875,125.540987680561
0.095,-0,-179.82421875,125.540987680561
0.096,-0,-179.82421875,125.540987680561
0.097,-0,-179.82421875,125.540987680561
0.098,-0,-179.82421875,125.540987680561
0.099,-0,-179.82421875,125.540987680561
0.1,-0,-179.82421875,125.540987680561
0.101,-0,-179.82421875,125.540987680561
0.102,-0,-179.82421875,125.540987680561
0.103,-0,-179.82421875,125.540987680561
0.104,-0,-179.82421875,125.540987680561
0.105,-0,-179.82421875,125.540987680561
0.106,-0,-179.82421875,125.540987680561
0.107,-0,-179.82421875,125.540987680561
0.108,-0,-179.82421875,125.540987680561
0.109,-0,-179.82421875,125.540987680561
0.11,-0,-179.82421875,125.540987680561
0.111,-0,-179.82421875,125.540987680561
0.112,-0,-179.82421875,125.540987680561
0.113,-0,-179.82421875,125.540987680561
0.114,-0,-179.82421875,125.540987680561
0.115,-0,-179.82421875,125.540987680561
0.116,-0,-179.82421875,125.540987680561
0.117,-0,-179.82421875,125.540987680561
0.118,-0,-179.82421875,125.540987680561
0.119,-0,-179.82421875,125.540987680561
0.12,-0,-179.82421875,125.540987680561
0.121,-0,-179.82421875,125.540987680561
0.122,-0,-179.82421875,125.540987680561
0.123,-0,-179.82421875,125.540987680561
0.124,-0,-179.82421875,125.540987680561
0.125,-0,-179.82421875,125.540987680561
0.126,-0,-179.82421875,125.540987680561
0.127,-0,-179.82421875,125.540987680561
0.128,-0,-179.82421875,125.540987680561
0.129,-0,-179.82421875,125.540987680561
0.13,-0,-179.82421875,125.540987680561
0.131,-0,-179.82421875,125.540987680561
0.132,-0,-179.82421875,125.540987680561
0.133,-0,-179.82421875,125.540987680561
0.134,-0,-179.82421875,125.540987680561
0.135,-0,-179.82421875,125.540987680561
0.136,-0,-179.82421875,125.540987680561
0.137,-0,-179.82421875,125.540987680561
0.138,-0,-179.82421875,125.540987680561
0.139,-0,-179.82421875,125.540987680561
0.14,-0,-179.82421875,125.540987680561
0.141,-0,-179.82421875,125.540987680561
0.142,-0,-179.82421875,125.540987680561
0.143,-0,-179.82421875,125.540987680561
0.144,-0,-179.82421875,125.540987680561
0.145,-0,-179.82421875,125.540987680561
0.146,-0,-180,128.731667719363
0.147,-0,-180,125.663706143592
0.148,-0,-180,125.663706143592
0.149,-0,-180,125.663706143592
0.15,-0,-180,125.663706143592
0.151,-0,-180,125.663706143592
0.152,-0,-180,125.663706143592
0.153,-0,-180,125.663706143592
0.154,-0,-180,125.663706143592
0.155,-0,-180,125.663706143592
0.156,-0,-180,125.663706143592
0.157,-0,-180,125.663706143592
0.158,-0,-180,125.663706143592
0.159,-0,-180,125.663706143592
0.16,-0,-180,125.663706143592
0.161,-0,-180,125.663706143592
0.162,-0,-180,125.663706143592
0.163,-0,-180,125.663706143592
0.164,-0,-180,125.663706143592
0.165,-0,-180,125.663706143592
0.166,-0,-180,125.663706143592
0.167,-0,-180,125.663706143592
0.168,-0,-180,125.663706143592
0.169,-0,-180,125.663706143592
0.17,-0,-180,125.663706143592
0.171,-0,-180,125.663706143592
0.172,-0,-180,125.663706143592
0.173,-0,-180,125.663706143592
0.174,-0,-180,125.663706143592
0.175,-0,-180,125.663706143592
0.176,-0,-180,125.663706143592
0.177,-0,-180,125.663706143592
0.178,-0,-180,125.663706143592
0.179,-0,-180,125.663706143592
0.18,-0,-180,125.663706143592
0.181,-0,-180,125.663706143592
0.182,-0,-180,125.663706143592
0.183,-0,-180,125.663706143592
0.184,-0,-180,125.663706143592
0.185,-0,-180,125.663706143592
0.186,-0,-180,125.663706143592
0.187,-0,-180,125.663706143592
0.188,-0,-180,125.663706143592
0.189,-0,-180,125.663706143592
0.19,-0,-180,125.663706143592
0.191,-0,-180,125.663706143592
0.192,-0,-180,125.663706143592
0.193,-0,-180,125.663706143592
0.194,-0,-180,125.663706143592
0.195,-0,-180,125.663706143592
0.196,-0,-180,125.663706143592
0.197,-0,-180,125.663706143592
0.198,-0,-180,125.663706143592
0.199,-0,-180,125.663706143592
0.2,-0,-180,125.663706143592
0.201,-0,-180,125.663706143592
0.202,-0,-180,125.663706143592
0.203,-0,-180,125.663706143592
0.204,-0,-180,125.663706143592
0.205,-0,-180,125.663706143592
0.206,-0,-180,125.663706143592
0.207,-0,-180,125.663706143592
0.208,-0,-180,125.663706143592
0.209,-0,-180,125.663706143592
0.21,-0,-180,125.663706143592
0.211,-0,-180,125.663706143592
0.212,-0,-180,125.663706143592
0.213,-0,-180,125.663706143592
0.214,-0,-180,125.663706143592
0.215,-0,-180,125.663706143592
0.216,-0,-180,125.663706143592
0.217,-0,-180,125.663706143592
0.218,-0,-180,125.663706143592
0.219,-0,-180,125.663706143592
0.22,-0,-180,125.663706143592
0.221,-0,-180,125.663706143592
0.222,-0,-180,125.663706143592
0.223,-0,-180,125.663706143592
0.224,-0,-180,125.663706143592
0.225,-0,-180,125.663706143592
0.226,-0,-180,125.663706143592
0.227,-0,-180,125.663706143592
0.228,-0,-180,125.663706143592
0.229,-0,-180,125.663706143592
0.23,-0,-180,125.663706143592
0.231,-0,-180,125.663706143592
0.232,-0,-180,125.663706143592
0.233,-0,-180,125.663706143592
0.234,-0,-180,125.663706143592
0.235,-0,-180,125.663706143592
0.236,-0,-180,125.663706143592
0.237,-0,-180,125.663706143592
0.238,-0,-180,125.663706143592
0.239,-0,-180,125.663706143592
0.24,-0,-180,125.663706143592
0.241,-0,-180,125.663706143592
0.242,-0,-180,125.663706143592
0.243,-0,-180,125.663706143592
0.244,-0,-180,125.663706143592
0.245,-0,-180,125.663706143592
0.246,-0,-180,125.663706143592
0.247,-0,-180,125.663706143592
0.248,-0,-180,125.663706143592
0.249,-0,-180,125.663706143592
0.25,-0,-180,125.663706143592
0.251,-0,-180,125.663706143592
0.252,-0,-180,125.663706143592
0.253,-0,-180,125.663706143592
0.254,-0,-180,125.663706143592
0.255,-0,-180,125.663706143592
0.256,-0,-180,125.663706143592
0.257,-0,-180,125.663706143592
0.258,-0,-180,125.663706143592
0.259,-0,-180,125.663706143592
0.26,-0,-180,125.663706143592
0.261,-0,-180,125.663706143592
0.262,-0,-180,125.663706143592
0.263,-0,-180,125.663706143592
0.264,-0,-180,125.663706143592
0.265,-0,-180,125.663706143592
0.266,-0,-180,125.663706143592
0.267,-0,-180,125.663706143592
0.268,-0,-180,125.663706143592
0.269,-0,-180,125.663706143592
0.27,-0,-180,125.663706143592
0.271,-0,-180,125.663706143592
0.272,-0,-180,125.663706143592
0.273,-0,-180,125.663706143592
0.274,-0,-180,125.663706143592
0.275,-0,-180,125.663706143592
0.276,-0,-180,125.663706143592
0.277,-0,-180,125.663706143592
0.278,-0,-180,125.663706143592
0.279,-0,-180,125.663706143592
0.28,-0,-180,125.663706143592
0.281,-0,-180,125.663706143592
0.282,-0,-180,125.663706143592
0.283,-0,-180,125.663706143592
0.284,-0,-180,125.663706143592
0.285,-0,-180,125.663706143592
0.286,-0,-180,125.663706143592
0.287,-0,-180,125.663706143592
0.288,-0,-180,125.663706143592
0.289,-0,-180,125.663706143592
0.29,-0,-180,125.663706143592
0.291,-0,-180,125.663706143592
0.292,-0,-180,125.663706143592
0.293,-0,-180,125.663706143592
0.294,-0,-180,125.663706143592
0.295,-0,-180,125.663706143592
0.296,-0,-180,125.663706143592
0.297,-0,-180,125.663706143592
0.298,-0,-180,125.663706143592
0.299,-0,-180,125.663706143592
0.3,-0,-180,125.663706143592
0.301,-0,-180,125.663706143592
0.302,-0,-180,125.663706143592
0.303,-0,-180,125.663706143592
0.304,-0,-180,125.663706143592
0.305,-0,-180,125.663706143592
0.306,-0,-180,125.663706143592
0.307,-0,-180,125.663706143592
0.308,-0,-180,125.663706143592
0.309,-0,-180,125.663706143592
0.31,-0,-180,125.663706143592
0.311,-0,-180,125.663706143592
0.312,-0,-180,125.663706143592
0.313,-0,-180,125.663706143592
0.314,-0,-180,125.663706143592
0.315,-0,-180,125.663706143592
0.316,-0,-180,125.663706143592
0.317,-0,-180,125.663706143592
0.318,-0,-180,125.663706143592
0.319,-0,-180,125.663706143592
0.32,-0,-180,125.663706143592
0.321,-0,-180,125.663706143592
0.322,-0,-180,125.663706143592
0.323,-0,-180,125.663706143592
0.324,-0,-180,125.663706143592
0.325,-0,-180,125.663706143592
0.326,-0,-180,125.663706143592
0.327,-0,-180,125.663706143592
0.328,-0,-180,125.663706143592
0.329,-0,-180,125.663706143592
0.33,-0,-180,125.663706143592
0.331,-0,-180,125.663706143592
0.332,-0,-180,125.663706143592
0.333,-0,-180,125.663706143592
0.334,-0,-180,125.663706143592
0.335,-0,-180,125.663706143592
0.336,-0,-180,125.663706143592
0.337,-0,-180,125.663706143592
0.338,-0,-180,125.663706143592
0.339,-0,-180,125.663706143592
0.34,-0,-180,125.663706143592
0.341,-0,-180,125.663706143592
0.342,-0,-180,125.663706143592
0.343,-0,-180,125.663706143592
0.344,-0,-180,125.663706143592
0.345,-0,-180,125.663706143592
0.346,-0,-180,125.663706143592
0.347,-0,-180,125.663706143592
0.348,-0,-180,125.663706143592
0.349,-0,-180,125.663706143592
0.35,-0,-180,125.663706143592
0.351,-0,-180,125.663706143592
0.352,-0,-180,125.663706143592
0.353,-0,-180,125.663706143592
0.354,-0,-180,125.663706143592
0.355,-0,-180,125.663706143592
0.356,-0,-180,125.663706143592
0.357,-0,-180,125.663706143592
0.358,-0,-180,125.663706143592
0.359,-0,-180,125.663706143592
0.36,-0,-180,125.663706143592
0.361,-0,-180,125.663706143592
0.362,-0,-180,125.663706143592
0.363,-0,-180,125.663706143592
0.364,-0,-180,125.663706143592
0.365,-0,-180,125.663706143592
0.366,-0,-180,125.663706143592
0.367,-0,-180,125.663706143592
0.368,-0,-180,125.663706143592
0.369,-0,-180,125.663706143592
0.37,-0,-180,125.663706143592
0.371,-0,-180,125.663706143592
0.372,-0,-180,125.663706143592
0.373,-0,-180,125.663706143592
0.374,-0,-180,125.663706143592
0.375,-0,-180,125.663706143592
0.376,-0,-180,125.663706143592
0.377,-0,-180,125.663706143592
0.378,-0,-180,125.663706143592
0.379,-0,-180,125.663706143592
0.38,-0,-180,125.663706143592
0.381,-0,-180,125.663706143592
0.382,-0,-180,125.663706143592
0.383,-0,-180,125.663706143592
0.384,-0,-180,125.663706143592
0.385,-0,-180,125.663706143592
0.386,-0,-180,125.663706143592
0.387,-0,-180,125.663706143592
0.388,-0,-180,125.663706143592
0.389,-0,-180,125.663706143592
0.39,-0,-180,125.663706143592
0.391,-0,-180,125.663706143592
0.392,-0,-180,125.663706143592
0.393,-0,-180,125.663706143592
0.394,-0,-180,125.663706143592
0.395,-0,-180,125.663706143592
0.396,-0,-180,125.663706143592
0.397,-0,-180,125.663706143592
0.398,-0,-180,125.663706143592
0.399,-0,-180,125.663706143592
0.4,-0,-180,125.663706143592
0.401,-0,-180,125.663706143592
0.402,-0,-180,125.663706143592
0.403,-0,-180,125.663706143592
0.404,-0,-180,125.663706143592
0.405,-0,-180,125.663706143592
0.406,-0,-180,125.663706143592
0.407,-0,-180,125.663706143592
0.408,-0,-180,125.663706143592
0.409,-0,-180,125.663706143592
0.41,-0,-180,125.663706143592
0.411,-0,-180,125.663706143592
0.412,-0,-180,125.663706143592
0.413,-0,-180,125.663706143592
0.414,-0,-180,125.663706143592
0.415,-0,-180,125.663706143592
0.416,-0,-180,125.663706143592
0.417,-0,-180,125.663706143592
0.418,-0,-180,125.663706143592
0.419,-0,-180,125.663706143592
0.42,-0,-180,125.663706143592
0.421,-0,-180,125.663706143592
0.422,-0,-180,125.663706143592
0.423,-0,-180,125.663706143592
0.424,-0,-180,125.663706143592
0.425,-0,-180,125.663706143592
0.426,-0,-180,125.663706143592
0.427,-0,-180,125.663706143592
0.428,-0,-180,125.663706143592
0.429,-0,-180,125.663706143592
0.43,-0,-180,125.663706143592
0.431,-0,-179.82421875,122.47302610479
0.432,-0,-179.82421875,125.540987680561
0.433,-0,-179.82421875,125.540987680561
0.434,-0,-179.82421875,125.540987680561
0.435,-0,-179.82421875,125.540987680561
0.436,-0,-179.82421875,125.540987680561
0.437,-0,-179.82421875,125.540987680561
0.438,-0,-179.82421875,125.540987680561
0.439,-0,-179.82421875,125.540987680561
0.44,-0,-179.82421875,125.540987680561
0.441,-0,-179.82421875,125.540987680561
0.442,-0,-179.82421875,125.540987680561
0.443,-0,-179.82421875,125.540987680561
0.444,-0,-179.82421875,125.540987680561
0.445,-0,-179.82421875,125.540987680561
0.446,-0,-179.82421875,125.540987680561
0.447,-0,-179.82421875,125.540987680561
0.448,-0,-179.82421875,125.540987680561
0.449,-0,-179.82421875,125.540987680561
0.45,-0,-179.82421875,125.540987680561
0.451,-0,-179.82421875,125.540987680561
