Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,2.99999999999659
0.002,0,-0,-180,2.99999999999924
0.004,0,-0,-180,2.99999999999597
0.006,0,-0,-180,2.99999999999658
0.008,0,-0,-180,2.99999999999733
0.01,0,-0,-180,2.99999999999797
0.012,0,-0,-180,2.99999999999687
0.014,0,-0,-180,2.99999999999813
0.016,0,-0,-180,2.99999999999847
0.018,0,-0,-180,2.99999999999869
0.02,0,-0,-180,2.99999999999193
0.022,0,-0,-180,2.99999999999269
0.024,0,-0,-180,2.99999999999313
0.026,0,-0,-180,2.99999999999336
0.028,0,-0,-180,2.99999999999348
0.03,0,-0,-180,2.99999999999352
0.032,0,-0,-180,2.99999999999346
0.034,0,-0,-180,2.99999999999293
0.036,0,-0,-180,2.99999999999257
0.038,0,-0,-180,2.99999999999231
0.04,0,-0,-180,2.99999999999211
0.042,0,-0,-180,2.99999999999196
0.044,0,-0,-180,2.99999999999184
0.046,0,-0,-180,2.99999999999173
0.048,0,-0,-180,2.99999999999164
0.05,0,-0,-180,2.99999999999159
0.052,0,-0,-180,2.99999999999153
0.054,0,-0,-180,2.99999999999148
0.056,0,-0,-180,2.99999999999143
0.058,0,-0,-180,2.99999999999138
0.06,0,-0,-180,2.9999999999913
0.062,0,-0,-180,2.99999999999123
0.064,0,-0,-180,2.99999999999117
0.066,0,-0,-180,2.99999999999111
0.068,0,-0,-180,2.99999999999106
0.07,0,-0,-180,2.99999999999102
0.072,0,-0,-180,2.99999999999098
0.074,0,-0,-180,2.99999999999094
0.076,0,-0,-180,2.99999999999091
0.078,0,-0,-180,2.99999999999088
0.08,0,-0,-180,2.99999999999085
0.082,0,-0,-180,2.99999999999083
0.084,0,-0,-179.82421875,2.99999999999079
0.086,0,-0,-179.6484375,2.99999999999075
0.088,0,-0,-179.47265625,2.99999999999072
0.09,0,-0,-179.296875,2.99999999999069
0.092,0,-0,-179.12109375,2.99999999999066
0.094,0,-0,-178.9453125,2.99999999999063
0.096,0,-0,-178.76953125,2.99999999999061
0.098,0,-0,-178.59375,2.99999999999059
0.1,0,-0,-178.41796875,2.99999999999057
0.102,0,-0,-178.2421875,2.99999999999055
0.104,0,-0,-178.06640625,2.99999999999053
0.106,0,-0,-177.890625,2.99999999999052
0.108,0,-0,-177.71484375,2.9999999999905
0.11,0,-0,-177.5390625,2.99999999999049
0.112,0,-0,-177.36328125,2.99999999999048
0.114,0,-0,-177.1875,2.99999999999046
0.116,0,-0,-177.01171875,2.99999999999045
0.118,0,-0,-176.8359375,2.99999999999044
0.12,0,-0,-176.66015625,2.99999999999043
0.122,0,-0,-176.484375,2.99999999999042
0.124,0,-0,-176.30859375,2.99999999999041
0.126,0,-0,-176.1328125,2.99999999999041
0.128,0,-0,-175.95703125,2.9999999999904
0.13,0,-0,-175.78125,2.99999999999039
0.132,0,-0,-175.60546875,2.99999999999038
0.134,0,-0,-175.4296875,2.99999999999038
0.136,0,-0,-175.25390625,2.99999999999037
0.138,0,-0,-175.078125,2.99999999999036
0.14,0,-0,-174.90234375,2.99999999999036
0.142,0,-0,-174.7265625,2.99999999999035
0.144,0,-0,-174.55078125,2.99999999999034
0.146,0,-0,-174.375,2.99999999999034
0.148,0,-0,-174.19921875,2.99999999999033
0.15,0,-0,-174.0234375,2.99999999999033
0.152,0,-0,-173.84765625,2.99999999999032
0.154,0,-0,-173.671875,2.99999999999031
0.156,0,-0,-173.49609375,2.99999999999031
0.158,0,-0,-173.3203125,2.9999999999903
0.16,0,-0,-173.14453125,2.9999999999903
0.162,0,-0,-172.96875,2.99999999999029
0.164,0,-0,-172.79296875,2.99999999999029
0.166,0,-0,-172.6171875,2.99999999999028
0.168,0,-0,-172.44140625,2.99999999999028
0.17,0,-0,-172.265625,2.99999999999028
0.172,0,-0,-172.08984375,2.99999999999027
0.174,0,-0,-171.9140625,2.99999999999027
0.176,0,-0,-171.73828125,2.99999999999026
