Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,9.99999999999925
0.002,0,-0,-180,9.99999999999682
0.004,0,-0,-180,9.9999999999961
0.006,0,-0,-180,9.99999999999591
0.008,0,-0,-180,9.99999999999516
0.01,0,-0,-180,9.99999999999845
0.012,0,-0,-180,9.99999999999336
0.014,0,-0,-180,9.99999999999543
0.016,0,-0,-180,9.9999999999985
0.018,0,-0,-180,9.99999999999817
0.02,0,-0,-180,9.99999999999311
0.022,0,-0,-180,9.99999999999345
0.024,0,-0,-180,9.99999999999403
0.026,0,-0,-179.82421875,9.99999999999747
0.028,0,-0,-179.6484375,9.99999999999737
0.03,0,-0,-179.47265625,9.99999999999584
0.032,0,-0,-179.296875,9.99999999999359
0.034,0,-0,-179.12109375,9.99999999999021
0.036,0,-0,-178.9453125,9.99999999998873
0.038,0,-0,-178.76953125,9.99999999998775
0.04,0,-0,-178.59375,9.99999999998871
0.042,0,-0,-178.41796875,9.99999999998975
0.044,0,-0,-178.2421875,9.99999999998875
0.046,0,-0,-178.06640625,9.9999999999884
0.048,0,-0,-177.890625,9.99999999998517
0.05,0,-0,-177.71484375,9.99999999998417
0.052,0,-0,-177.5390625,9.99999999998354
0.054,0,-0,-177.36328125,9.99999999998324
0.056,0,-0,-177.1875,9.99999999998304
0.058,0,-0,-177.01171875,9.9999999999827
0.06,0,-0,-176.8359375,9.99999999998231
0.062,0,-0,-176.66015625,9.99999999998195
0.064,0,-0,-176.484375,9.99999999998157
0.066,0,-0,-176.30859375,9.99999999998116
0.068,0,-0,-176.1328125,9.99999999998071
0.07,0,-0,-175.95703125,9.99999999998032
0.072,0,-0,-175.78125,9.99999999998001
0.074,0,-0,-175.60546875,9.99999999997964
0.076,0,-0,-175.4296875,9.99999999997925
0.078,0,-0,-175.25390625,9.99999999997893
0.08,0,-0,-175.078125,9.9999999999786
0.082,0,-0,-174.90234375,9.99999999997825
0.084,0,-0,-174.7265625,9.99999999997794
0.086,0,-0,-174.55078125,9.99999999997766
0.088,0,-0,-174.375,9.99999999997737
