Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.99999999978037
0.002,0,-0,-180,9.9999999983931
0.004,0,-0,-180,9.44879461777882
0.006,0,-0,-180,8.59548389445024
0.008,0,-0,-180,7.82337635039718
0.01,0,-0,-180,7.12474449010973
0.012,0,-0,-180,6.49259618407199
0.014,0,-0,-180,5.92060469114653
0.016,0,-0,-180,5.40304533865862
0.018,0,-0,-180,4.93473822802841
0.02,0,-0,-180,4.51099639277963
0.022,0,-0,-180,4.12757888991551
0.024,0,-0,-180,3.78064835517189
0.026,0,-0,-180,3.46673259744122
0.028,0,-0,-180,3.18268984800544
0.03,0,-0,-180,2.92567731671255
0.032,0,-0,-180,2.69312274042852
0.034,0,-0,-180,2.48269863900988
0.036,0,-0,-180,2.2922990211423
0.038,0,-0,-180,2.12001830690988
0.04,0,-0,-180,1.96413225614537
0.042,0,-0,-180,1.82308071168665
0.044,0,-0,-180,1.69545198482743
0.046,0,-0,-180,1.57996872668791
0.048,0,-0,-180,1.47547514410105
0.05,0,-0,-180,1.38092543206712
0.052,0,-0,-180,1.2953733070046
0.054,0,-0,-180,1.21796253604335
0.056,0,-0,-180,1.14791836757369
0.058,0,-0,-180,1.08453977728602
0.06,0,-0,-180,1.0271924520966
0.062,0,-0,-180,0.975302441740522
0.064,0,-0,-180,0.928350414494949
0.066,0,-0,-179.82421875,0.874700361278193
0.068,0,-0,-179.6484375,0.826110995906222
0.07,0,-0,-179.47265625,0.78210073067333
0.072,0,-0,-179.296875,0.74223380696253
0.074,0,-0,-179.12109375,0.706115934036225
0.076,0,-0,-178.9453125,0.673390342849137
0.078,0,-0,-178.76953125,0.643734215390259
0.08,0,-0,-178.59375,0.616855453817554
0.082,0,-0,-178.41796875,0.592489757049883
0.084,0,-0,-178.2421875,0.570397975557729
0.086,0,-0,-178.06640625,0.550363717878693
0.088,0,-0,-177.890625,0.532191184902907
0.09,0,-0,-177.71484375,0.515703210253296
0.092,0,-0,-177.5390625,0.500739487148146
0.094,0,-0,-177.36328125,0.487154963999861
0.096,0,-0,-177.1875,0.474818392692543
0.098,0,-0,-177.01171875,0.463611015009123
0.1,0,-0,-176.8359375,0.453425374061372
0.102,0,-0,-176.66015625,0.444164238827179
0.104,0,-0,-176.484375,0.435739631031578
0.106,0,-0,-176.30859375,0.428071944632196
0.108,0,-0,-176.1328125,0.421089149096661
0.11,0,-0,-175.95703125,0.414726068498148
0.112,0,-0,-175.78125,0.408923729213957
0.114,0,-0,-175.60546875,0.403628769698767
0.116,0,-0,-175.4296875,0.398792906425313
0.118,0,-0,-175.25390625,0.394372450647483
0.12,0,-0,-175.078125,0.390327871149481
0.122,0,-0,-174.90234375,0.386623398604827
0.124,0,-0,-174.7265625,0.383226667585573
0.126,0,-0,-174.55078125,0.380108392638806
0.128,0,-0,-174.375,0.377242075188527
0.13,0,-0,-174.19921875,0.37460373832948
0.132,0,-0,-174.0234375,0.372171686858652
0.134,0,-0,-173.84765625,0.369926290142783
0.136,0,-0,-173.671875,0.367849785648761
0.138,0,-0,-173.49609375,0.365926101170515
0.14,0,-0,-173.3203125,0.364140693973301
0.142,0,-0,-173.14453125,0.362480405245359
0.144,0,-0,-172.96875,0.360933328400357
0.146,0,-0,-172.79296875,0.359488689912489
0.148,0,-0,-172.6171875,0.358136741491588
0.15,0,-0,-172.44140625,0.356868662519163
0.152,0,-0,-172.265625,0.355676471768817
0.154,0,-0,-172.08984375,0.354552947527623
0.156,0,-0,-171.9140625,0.353491555318896
0.158,0,-0,-171.73828125,0.352486382503104
0.16,0,-0,-171.5625,0.351532079102261
0.162,0,-0,-171.38671875,0.350623804255672
0.164,0,-0,-171.2109375,0.349757177771035
0.166,0,-0,-171.03515625,0.348928236286115
0.168,0,-0,-170.859375,0.34813339360212
0.17,0,-0,-170.68359375,0.347369404791909
0.172,0,-0,-170.5078125,0.346633333723719
0.174,0,-0,-170.33203125,0.345922523675424
0.176,0,-0,-170.15625,0.345234570745221
0.178,0,-0,-169.98046875,0.3445672997926
0.18,0,-0,-169.8046875,0.343918742668882
0.182,0,-0,-169.62890625,0.343287118519317
0.184,0,-0,-169.453125,0.342670815959755
0.186,0,-0,-169.27734375,0.342068376949382
0.188,0,-0,-169.1015625,0.341478482198207
0.19,0,-0,-168.92578125,0.340899937963156
0.192,0,-0,-168.75,0.340331664100742
0.194,0,-0,-168.57421875,0.339772683256628
0.196,0,-0,-168.57421875,0.350388209347936
0.198,0,-0,-168.3984375,0.348827437174898
0.2,0,-0,-168.22265625,0.347370406639352
0.202,0,-0,-168.046875,0.346007245429015
0.204,0,-0,-167.87109375,0.344729020704223
0.206,0,-0,-167.6953125,0.343527649696673
0.208,0,-0,-167.51953125,0.342395818814499
0.21,0,-0,-167.34375,0.341326910445516
0.212,0,-0,-167.16796875,0.340314936726069
0.214,0,-0,-166.9921875,0.339354479612565
0.216,0,-0,-166.81640625,0.338440636655992
0.218,0,-0,-166.640625,0.337568971936644
0.22,0,-0,-166.46484375,0.336735471668019
0.222,0,-0,-166.2890625,0.335936504025575
0.224,0,-0,-166.11328125,0.335168782798274
0.226,0,-0,-165.9375,0.334429334499135
0.228,0,-0,-165.76171875,0.33371546860563
0.23,0,-0,-165.5859375,0.333024750632087
0.232,0,-0,-165.41015625,0.332354977764566
0.234,0,-0,-165.234375,0.331704156814421
0.236,0,-0,-165.234375,0.342236582533794
0.238,0,-0,-165.05859375,0.34060061802795
0.24,0,-0,-164.8828125,0.339075550649979
0.242,0,-0,-164.70703125,0.33765082715323
0.244,0,-0,-164.53125,0.33631689856311
0.246,0,-0,-164.35546875,0.335065124609316
0.248,0,-0,-164.1796875,0.333887687251268
0.25,0,-0,-164.00390625,0.332777512432674
0.252,0,-0,-163.828125,0.331728199282124
0.254,0,-0,-163.65234375,0.330733956051132
0.256,0,-0,-163.4765625,0.329789542148475
0.258,0,-0,-163.30078125,0.328890215690701
0.26,0,-0,-163.125,0.328031686043832
0.262,0,-0,-162.94921875,0.32721007088135
0.264,0,-0,-162.7734375,0.326421857328638
0.266,0,-0,-162.7734375,0.336829965068989
0.268,0,-0,-162.59765625,0.335081512993797
0.27,0,-0,-162.421875,0.333454662644796
0.272,0,-0,-162.24609375,0.331937842099
0.274,0,-0,-162.0703125,0.330520580645262
0.276,0,-0,-161.89453125,0.329193403991487
0.278,0,-0,-161.71875,0.327947739442893
0.28,0,-0,-161.54296875,0.326775830103771
0.282,0,-0,-161.3671875,0.325670657244002
0.284,0,-0,-161.19140625,0.324625870053372
0.286,0,-0,-161.015625,0.323635722080636
0.288,0,-0,-160.83984375,0.322695013721227
0.29,0,-0,-160.6640625,0.321799040177936
0.292,0,-0,-160.6640625,0.332109642637817
0.294,0,-0,-160.48828125,0.330272964128401
0.296,0,-0,-160.3125,0.328566283193225
0.298,0,-0,-160.13671875,0.326977228939411
0.3,0,-0,-159.9609375,0.325494607717898
0.302,0,-0,-159.78515625,0.324108291095241
0.304,0,-0,-159.609375,0.322809114485057
0.306,0,-0,-159.43359375,0.321588785425909
0.308,0,-0,-159.2578125,0.320439800587722
0.31,0,-0,-159.08203125,0.319355370676064
0.312,0,-0,-158.90625,0.318329352482747
0.314,0,-0,-158.90625,0.328522285666608
0.316,0,-0,-158.73046875,0.326579135583647
0.318,0,-0,-158.5546875,0.324776115176048
0.32,0,-0,-158.37890625,0.323099889354854
0.322,0,-0,-158.203125,0.321538392030239
0.324,0,-0,-158.02734375,0.320080705351647
0.326,0,-0,-157.8515625,0.318716950438472
0.328,0,-0,-157.67578125,0.317438188509092
0.33,0,-0,-157.5,0.316236331418684
0.332,0,-0,-157.32421875,0.315104060710514
0.334,0,-0,-157.32421875,0.325200852634472
0.336,0,-0,-157.1484375,0.323170710334243
0.338,0,-0,-156.97265625,0.321288976106256
0.34,0,-0,-156.796875,0.319541527068607
0.342,0,-0,-156.62109375,0.317915584306877
0.344,0,-0,-156.4453125,0.316399584980072
0.346,0,-0,-156.26953125,0.314983066596075
0.348,0,-0,-156.09375,0.313656562299663
0.35,0,-0,-155.91796875,0.312411506125229
0.352,0,-0,-155.91796875,0.322406245529859
0.354,0,-0,-155.7421875,0.32028376228317
0.356,0,-0,-155.56640625,0.318318474504041
0.358,0,-0,-155.390625,0.316495423080061
0.36,0,-0,-155.21484375,0.314801072444086
0.362,0,-0,-155.0390625,0.313223175107374
0.364,0,-0,-154.86328125,0.311750649082836
0.366,0,-0,-154.6875,0.310373466972978
0.368,0,-0,-154.51171875,0.309082555612514
0.37,0,-0,-154.51171875,0.31903580352526
0.372,0,-0,-154.3359375,0.316875777220785
0.374,0,-0,-154.16015625,0.314876519075103
